,year,oil
0,1999-10-01,22.12
1,1999-12-01,25.48
2,2000-01-01,25.22
3,2000-08-01,29.89
4,2000-09-01,32.62
5,2000-11-01,32.52
6,2000-12-01,25.28
7,2001-01-01,25.64
8,2001-05-01,28.45
9,2001-06-01,27.72
10,2001-12-01,18.6
11,2002-04-01,25.65
12,2002-08-01,26.63
13,2002-10-01,27.55
14,2002-12-01,28.52
15,2003-02-01,32.65
16,2003-07-01,28.4
17,2003-08-01,29.83
18,2003-09-01,27.1
19,2004-01-01,31.18
20,2004-02-01,30.87
21,2004-03-01,33.8
22,2004-05-01,37.92
23,2004-11-01,43.05
24,2005-03-01,53.08
25,2005-04-01,51.86
26,2005-05-01,48.67
27,2005-06-01,54.31
28,2005-07-01,57.58
29,2005-08-01,64.09
30,2005-09-01,62.98
31,2005-10-01,58.52
32,2005-12-01,56.75
33,2006-03-01,62.25
34,2006-05-01,70.19
35,2006-06-01,68.86
36,2006-07-01,73.9
37,2006-08-01,73.61
38,2006-10-01,58.38
39,2006-11-01,58.48
40,2006-12-01,62.31
41,2007-01-01,54.3
42,2007-02-01,57.76
43,2007-03-01,62.14
44,2007-04-01,67.4
45,2007-06-01,71.32
46,2007-09-01,77.13
47,2007-11-01,92.53
48,2007-12-01,91.45
49,2008-02-01,94.82
50,2008-05-01,123.94
51,2008-06-01,133.05
52,2008-07-01,133.9
53,2008-08-01,113.85
54,2008-09-01,99.06
55,2008-10-01,72.84
56,2008-11-01,53.24
57,2008-12-01,41.58
58,2009-01-01,44.86
59,2009-02-01,43.24
60,2009-03-01,46.84
61,2009-04-01,50.85
62,2009-05-01,57.94
63,2009-07-01,64.92
64,2009-09-01,67.69
65,2009-10-01,73.19
66,2009-12-01,74.67
67,2010-01-01,76.37
68,2010-02-01,74.31
69,2010-03-01,79.27
70,2010-04-01,84.93
71,2010-06-01,74.84
72,2010-07-01,74.74
73,2010-09-01,77.79
74,2010-10-01,82.92
75,2010-11-01,85.67
76,2010-12-01,91.8
77,2011-01-01,96.29
78,2011-02-01,103.96
79,2011-04-01,123.15
80,2011-07-01,116.46
81,2011-08-01,110.08
82,2011-11-01,110.5
83,2011-12-01,107.97
84,2012-01-01,110.99
85,2012-02-01,119.7
86,2012-03-01,124.93
87,2012-05-01,110.52
88,2012-06-01,95.59
89,2012-08-01,113.34
90,2012-09-01,113.38
91,2012-10-01,111.97
92,2013-01-01,112.93
93,2013-02-01,116.46
94,2013-06-01,103.11
95,2013-08-01,110.96
96,2013-09-01,111.62
97,2013-11-01,108.08
98,2013-12-01,110.63
99,2014-01-01,107.57
100,2014-03-01,107.41
101,2014-04-01,107.88
102,2014-04-01,59.39
103,2014-05-01,109.68
104,2014-06-01,111.87
105,2014-07-01,106.98
106,2014-08-01,101.92
107,2014-10-01,87.27
108,2014-12-01,62.16
109,2015-02-01,57.93
110,2015-05-01,64.56
111,2015-07-01,55.87
112,2015-09-01,47.23
113,2015-10-01,48.12
114,2015-11-01,44.42
115,2016-03-01,39.25
116,2016-04-01,42.78
117,2016-06-01,49.78
118,2016-07-01,46.63
119,2016-08-01,46.37
120,2016-09-01,47.68
121,2016-10-01,51.1
122,2016-11-01,47.97
123,2016-12-01,54.44
124,2017-01-01,55.98
125,2017-02-01,55.95
126,2017-05-01,50.66
127,2017-07-01,49.51
128,2017-09-01,55.74
129,2017-10-01,58.91
130,2017-11-01,62.33
131,2017-12-01,64.05
132,2018-06-01,76.01
133,2018-08-01,74.27
134,2018-11-01,66.32
135,2000-10-01,30.93
136,2002-09-01,28.34
137,2003-11-01,28.77
138,2004-08-01,43.03
139,2005-01-01,44.28
140,2007-10-01,83.04
141,2008-04-01,110.44
142,2009-08-01,72.5
143,2011-03-01,114.44
144,2012-11-01,109.71
145,2015-01-01,48.42
146,2015-03-01,55.79
147,2015-08-01,46.99
148,2017-03-01,53.38
149,2017-08-01,51.82
150,2001-10-01,20.48
151,2003-10-01,29.59
152,2003-12-01,29.88
153,2004-12-01,39.65
154,2006-09-01,62.77
155,2008-01-01,91.92
156,2011-06-01,113.76
157,2015-06-01,62.35
158,2015-12-01,37.72
159,2016-02-01,33.2
160,2018-03-01,67.12
161,2018-09-01,79.52
162,2000-05-01,27.4
163,2000-06-01,29.68
164,2001-04-01,25.55
165,2001-08-01,25.67
166,2002-02-01,20.29
167,2002-03-01,23.69
168,2002-07-01,25.77
169,2002-11-01,24.5
170,2003-01-01,31.29
171,2004-09-01,43.38
172,2005-11-01,55.53
173,2006-04-01,70.44
174,2007-07-01,77.2
175,2007-08-01,70.8
176,2008-03-01,103.28
177,2009-06-01,68.59
178,2009-11-01,77.04
179,2010-05-01,76.25
180,2010-08-01,76.69
181,2011-05-01,114.46
182,2011-10-01,109.47
183,2012-04-01,120.59
184,2012-12-01,109.64
185,2013-03-01,109.24
186,2013-04-01,102.88
187,2013-07-01,107.72
188,2013-10-01,109.48
189,2014-02-01,108.81
190,2014-09-01,97.34
191,2018-02-01,65.89
192,2018-04-01,71.16
193,2018-10-01,80.64
194,2003-04-01,25.02
195,2004-07-01,38.37
196,2005-02-01,45.56
197,2006-01-01,63.57
198,2006-02-01,59.92
199,2011-09-01,110.88
200,2012-07-01,103.14
201,2013-05-01,103.03
202,2016-01-01,30.8
203,2017-04-01,53.54
204,2017-06-01,47.91
205,2018-05-01,76.44
206,2001-09-01,25.54
207,2001-11-01,18.94
208,2002-01-01,19.48
209,2002-06-01,24.13
210,2003-05-01,25.81
211,2003-06-01,27.55
212,2018-07-01,75.37
213,2018-12-01,56.98
214,2003-03-01,30.34
215,2007-05-01,67.48
216,2016-05-01,47.09
217,1999-09-01,22.11
218,2000-04-01,22.54
219,2000-07-01,28.51
220,2001-02-01,27.41
221,2001-03-01,24.4
222,2001-07-01,24.54
223,2002-05-01,25.43
